_id,OBJECTID,AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,EMAIL,WEBSITE,ELIGIBILITY,DESCRIPTION_SERVICE,APPLICATION,LANGUAGES,ACCESSIBILITY,HOURS,LEGAL_STATUS,DATE_UPDATED,ADDRESS_POINT_ID,X,Y,LONGITUDE,LATITUDE,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,geometry
1,795,Toronto District School Board,"3701 Chesswood Dr, Ste 100, Toronto, ON     M3J 2P6","York University Heights, 27",416-395-2027,WCNyouth@tdsb.on.ca,"<a href=""http://communitysvcs.tdsb.on.ca"" target=""_blank"">communitysvcs.tdsb.on.ca</a>",TDSB newcomer students 6-24 years,"<b>Community Connections Mentorship Program</b> (formerly HOST Program) -- supervised group activities for newcomer children, youth and young adults to help orient them to their new community and establish social and professional networks * assistance from peer and professional mentors, with focus on citizenship and civic engagement or skills and career development","Call, email or visit school Host Facilitator for information",English,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Designated parking,Mon-Fri 10 am-6 pm,(50) Non Profit,2015-02-10T05:00:00,498903,NA,NA,NA,NA,3701-3741 Chesswood Dr,North York,M3J 2P6,"c(-79.474088952046, 43.7562830163921)"
2,796,North York Community House,"540 Finch Ave W, Toronto, ON     M2R 1N7","Westminster-Branson, 35",416-636-2600,nych@nych.ca,"<a href=""http://www.nych.ca"" target=""_blank"">www.nych.ca</a>",Open to all,"Community Settlement Services -- one-on-one and group settlement services available to new permanent residents, convention refugees and refugee claimants * information and referral * orientation * formerly Immigrant Settlement and Adaptation Program<br><br>
 
English Language Support -- group conversation circles for newcomers <br><br>

Community Building -- working with residents on local issues to improve social networks and economic security <br><br>

Skills and Leadership -- training in leadership, group facilitation skills, peer leadership, and practicums in these areas, for adults * also Newcomer Youth Leadership Training * employment readiness -- orientation to Canadian workplace culture, employment counselling and assessment, small business development support * financial literacy workshops",Call or drop in,English ; Arabic ; Bengali ; Chinese (Mandarin) ; Dari ; Farsi ; Gujarati ; Hindi ; Italian ; Marathi ; Punjabi ; Romanian ; Russian ; Somali ; Spanish ; Swahili ; Tamil ; Turkish ; Urdu ; West Indian dialects ; not all languages available at all sites,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Elevator with braille and voice/tone features - lowered buttons ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm * some programs held evenings and weekends,(50) Non Profit ; (51) Registered Charity,2014-12-22T05:00:00,30030275,NA,NA,NA,NA,540 Finch Ave W,North York,M2R 1N7,"c(-79.4451357649857, 43.7740379188974)"
3,797,FCJ Refugee Centre,"208 Oakwood Ave, Toronto, ON     M6E 2V4","Oakwood Village, 107",416-469-9754,info@fcjrefugeecentre.org,"<a href=""http://www.fcjrefugeecentre.org"" target=""_blank"">www.fcjrefugeecentre.org</a>","People with precarious migration status including refugee claimants, people without status, victims and survivors of human trafficking * shelter -- refugee women and children","Legal information -- legal information on immigration and refugee issues, work permits, student permits, permanent resident applications, and other issues
<br><br>
Shelter -- transitional housing for refugee claimant women and children * help with the refugee process, including legal, mental health, social services and other referrals * support and accompaniment to appointments
<br><br> 
Primary Health Care and Mental Health Clinic -- Saturdays, no Ontario Health Insurance required * settlement services * group for youth with precarious immigration status * holistic support services for victims/survivors of human trafficking * support groups and activities for women * Spanish interpretation and translation * English as a Second Language (ESL) classes
<br><br> 
Public education -- workshops for service providers and others on legal information needs of refugee claimants and non-status people and on immigration and refugee procedures * publications, public speakers",Call for an appointment,English ; French ; Arabic ; Portuguese ; Spanish ; access to interpreters for other languages,Wheelchair accessible building from Glenhurst entrance but not washrooms,"Mon-Fri 9:30 am-5 pm, Sat 10 am-2 pm",(50) Non Profit,2016-02-24T05:00:00,69507,NA,NA,NA,NA,208 Oakwood Ave,York,M6E 2V4,"c(-79.4368957238225, 43.6819472444856)"
4,907,Arab Community Centre of Toronto,"555 Burnhamthorpe Rd, Ste 209, Toronto, ON     M9C 2Y3","Etobicoke West Mall, 13",416-231-7746,Info@arabnewcomers.org,"<a href=""http://www.arabcommunitycentre.com"" target=""_blank"">www.arabcommunitycentre.com</a>",Open to everyone,"<b>Settlement Services</b> (formerly Immigrant Settlement and Adaptation Program) and Newcomer Settlement Program -- information and referral * housing and legal assistance * translation and interpretation * escort * counselling for students, individuals and families, liaising with Children's Aid Society * youth counselling and parenting sessions * orientation * settlement * refugee services -- referral and assistance with shelter, attendance at inquiry, employment, social, welfare and legal services * social and cultural activities * Ontario Community Participation -- volunteer placement program for Ontario Works recipients * also offered at 1 Resurrection Rd, 416-533-3292 ; 898 Markham Rd, 416-439-0767<br> <br> 

<b>Youth Services</b> -- settlement program encouraging civic participation and integration through a focus on recreation, sport, and mentorship<br> <br>

<b>Employment Services</b> -- Job Search Workshops (JSW) for new immigrants, Convention refugees or Live-in Caregivers, legally entitled to work in Canada * 3 or 4 day job search techniques workshops, including assessment with a job coach, individual action plan, labour market information, life skills and preemployment workshops with resume preparation, networking * extensive individual assistance<br> <br>

<b>Problem Gambling Program</b> -- culturally appropriate prevention, education and treatment * outreach and public education to community groups * individual or group counselling for gamblers or those affected<br> <br>

<b>Domestic Violence Education Program</b> -- counselling and referral for victims of family violence",Drop in or call for appointment,English ; French ; Arabic ; Armenian ; Assyrian ; Dari ; Dutch ; Farsi ; Hindi ; Lithuanian ; Pashto ; Punjabi ; Russian ; Urdu,Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-09-11T04:00:00,991045,NA,NA,NA,NA,555 Burnhamthorpe Rd,Etobicoke,M9C 2Y3,"c(-79.5680233623331, 43.6446436057859)"
5,908,Centre for Immigrant and Community Services,"2330 Midland Ave, Toronto, ON     M1S 5G5","Agincourt South-Malvern West, 128",416-292-7510,info@cicscanada.com,"<a href=""http://www.cicscanada.com"" target=""_blank"">www.cicscanada.com</a>",Open to all,"Immigrant Resource Centre -- multiservice centre with newcomer, job seeker and family services for all ages * services also offered at 2 locations in York Region 905-479-7926, 905-294-8868<br><br>

<b>Settlement and Employment Services</b> (formerly Immigrant Settlement and Adaptation Program) -- information and referral * orientation, needs assessment * translation and interpretation * supportive counselling * bridging services * form filling * workshops and tours * seasonal income tax clinic * <b>Community Connections Mentorship Program</b> (formerly HOST Program) -- group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks * trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development<br><br>

<b>Professional Development and Small Business Resource Centre</b> -- walk-in centre * resource materials for internationally trained professionals * business information * referrals<br><br> 

<b>Settlement and Integration Resource Centre</b> -- drop-in centre providing settlement and integration information and resources * access to computers, Internet<br><br>

<b>Settlement and Education Partnerships in Toronto (SEPT) (Settlement Workers in Schools) </b> -- outreach program based in elementary and secondary schools from mid-August to end of June, and in libraries and summer school programs from July to mid-August * homework club * multi-languages service in North York area, connecting parents and students with the schools, parent interviews with schools, parenting group sessions, settlement information sessions * contact 416-292-7510 ext 301 <br><br> 

<b>Employment Resource Centre</b> -- walk-in job search centre * access to computers, Internet, fax, photocopier, telephone * staff assistance available * resource materials * job boards * labour market information * resume clinics * mock interviews * workshops<br><br> 

<b>Early Years Program</b> -- preschool education program for children and their parents * social and learning skills for preschool children * parenting education * parent-child interactive activities <br> <br> 

<b>Children and Youth Programs</b> -- after school program * summer camp * Saturday enrichment classes * leadership and life skills training * employment readiness
<br><br> 

<b>Seniors and Family Programs</b> -- form filling * supportive counselling * client intervention assistance * social, educational and recreational programs * support groups * health information workshops
<br><br> 

<b>Volunteer Services</b> -- training and development * placements * public education",Call or drop in,English ; French ; Arabic ; Bengali ; Chinese (Cantonese) ; Chinese (Mandarin) ; Dari ; Farsi ; Filipino ; Gujarati ; Hebrew ; Hindi ; Korean ; Kurdish ; Malay ; Punjabi ; Russian ; Sindhi ; Spanish ; Tamil ; Ukrainian ; Urdu ; not all languages available,Designated parking at entrance ; Easy access to elevator - lowered buttons ; Non-powered swing doors ; Barrier free washrooms,Mon-Fri 9 am-5 pm * some Saturday and Sunday programs,(50) Non Profit ; (51) Registered Charity,2015-02-09T05:00:00,363508,NA,NA,NA,NA,2330 Midland Ave,Scarborough,M1S 5G5,"c(-79.276010188938, 43.7783800340215)"
6,909,Catholic Crosscultural Services,"1200 Markham Rd, Ste 503, Toronto, ON     M1H 3C3","Woburn, 137",416-289-6766,NA,"<a href=""http://www.cathcrosscultural.org"" target=""_blank"">www.cathcrosscultural.org</a>",LINC -- landed immigrants or Convention refugees,"Participates in LINC (Language Instruction for Newcomers to Canada) in English, upon assessment by YMCA of Greater Toronto -- see separate entry * transportation and child minding available<br><br>

Family Literacy Program -- language and age appropriate family reading resources through a lending library * activities to encourage and reinforce family language learning<br><br>

Summer Enrichment Program -- for children 8-13 years * academic support and social interaction to support the settlement process<br><br>
Settlement Program, formerly Immigrant Settlement and Adaptation Program",Call or drop in,English,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 8:30 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-04-20T04:00:00,4498793,NA,NA,NA,NA,1200 Markham Rd,Scarborough,M1H 3C3,"c(-79.232117555141, 43.7766098499215)"
7,910,Jewish Family & Child,"Lipa Green Centre, 4600 Bathurst St, 1st Fl, Toronto, ON     M2R 3V3","Westminster-Branson, 35",416-638-7800,info@jfandcs.com,"<a href=""http://www.jfandcs.com"" target=""_blank"">www.jfandcs.com</a>",NA,"Range of services for persons with social and emotional problems * all services confidential<br><br>

<b>Children</b> -- operates as a Children's Aid Society for the Jewish community * investigates allegations of child neglect and abuse * child protection services * adoption and foster home services and recruitment * adoption disclosure * counselling * big brothers and big sisters program * homework club<br><br>

<b>Families</b> -- individual, couple, family and group counselling * family life education and life skills programs * financial assistance combined with rehabilitation for persons on social assistance * assistance in finding employment and accommodation * support for families with special needs children<br><br>

<b>Woman abuse</b> -- counselling, emergency financial assistance, court accompaniment * groups for assaulted women, abusive men * Here to Help -- group program for children (and their mothers) exposed to woman abuse * community outreach * short term accommodation with kosher kitchen for one assaulted woman, with or without children<br><br>

<b>Other services</b> -- friendly visiting * support for single parents, bereaved parents, widows and widowers, immigrants * groups for women who have been or are in hurtful relationships * chaplaincy services for those in hospitals, long term care facilities, correctional institutions, psychiatric hospitals, centres for persons with developmental disabilities * co-op apartment for 4 males who are socially disabled or ex-psychiatric patients -- subsidies available * Multilingual Access Program -- escort for persons who are already clients * Settlement and Education Partnership in Toronto (SEPT) -- outreach program based in elementary and secondary schools from mid-August to end of June, and in libraries and social service agencies from July to mid-August * Jewish Hospice Program -- in-home palliative care program * social work services in schools * speakers","For information on providing foster care, call above number or Homes for Kids at 1-877-587-5437 (1-877-587-KIDS)",English ; Hebrew ; Russian ; Yiddish,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator - braille and lowered buttons ; Barrier-free washroom including door and stall,"Office -- Mon-Thu 9 am-5 pm, Fri 9 am-4 pm * after hours -- answering service, calls returned within 1 hour",(50) Non Profit ; (51) Registered Charity,2014-08-12T04:00:00,487321,NA,NA,NA,NA,4600 Bathurst St,North York,M2R 3V3,"c(-79.4411199605362, 43.7645028952139)"
8,911,West Neighbourhood House,"248 Ossington Ave, Toronto, ON     M6J 3A2","Trinity-Bellwoods, 81",416-536-1234 ext 401,janitr@westnh.org,"<a href=""http://www.westnh.org"" target=""_blank"">www.westnh.org</a>","Permanent rsidents and refugee claimants including socially marginalized, homeless and non-status","<b>Settlement services</b> -- small ethnic-based information groups * information and referral * group settlement sessions * individual assistance with immigration, orientation and other settlement-related issues * employment support * computer and Internet access * workshops * resource centre <br><br>

 <b>Community Connections Mentorship Program</b> (formerly HOST Program) -- group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks * trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development<br><br>

<b>Newcomer Youth Program for youth 13-24 years</b> -- leadership training * entrepreneurship * homework club * one-to-one help with resume writing and job search skills * computer drop-in * mentorship * sports clubs and recreation",Call for appointment,English ; Arabic ; Chinese (Cantonese) ; Dari ; Farsi ; Hungarian ; Polish ; Portuguese ; Sinhala ; Spanish ; Tamil,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-09-01T04:00:00,7552886,NA,NA,NA,NA,248 Ossington Ave,former Toronto,M6J 3A2,"c(-79.4212098225742, 43.6497730874438)"
9,912,Toronto Catholic District School Board,"Catholic Education Centre, 80 Sheppard Ave E, Toronto, ON     M2N 6E8","Willowdale East, 51",416-222-8282 ext 5314 ; Admissions 416-222-8282 ext 5320 ; Adult Education Programs 416-222-8282 ext 5348,webmaster@tcdsb.org,"<a href=""http://www.tcdsb.org"" target=""_blank"">www.tcdsb.org</a>",Elementary level -- Roman Catholic children and children of Roman Catholic parents * secondary level open to all,"Full academic program in a Roman Catholic environment * kindergarten through grade 12 * single gender and coeducational secondary schools * Catholic family life education * Adult Education * Advance Placement Program * alternative education programs * French as a second language and Immersion * International Baccalaureate Program * Specialist High Skills Major programming * Dual Credit * School Within a College * Ontario Youth Apprenticeship * special education programs for exceptional children * schools specializing in arts, technology and media * support services
<br><br>
<b>Adult Education</b> -- adult upgrading centres * English as a Second Language (ESL) classes -- see website for locations * Language Instruction for Newcomers to Canada (LINC) in English, upon assessment by YMCA of Greater Toronto -- see separate entry * Enhanced Language Training (ELT) * citizenship and international language classes
<br><br>
<b>Support Services</b> -- child care centres, after school programs, caregiver and child drop-ins and parenting centres at some schools -- call 416-222-8282 ext 2475 for information * nutrition programs, home instruction, social work, psychological and psychiatric services, guidance counselling, program for persons who are deaf or hard of hearing, reading, speech and language correction, community liaison, chaplaincy and peer ministry programs, interpreter services and transportation for persons with physical disabilities after school literacy clubs * <b>Comprehensive Literacy</b> -- remedial literacy instruction for children up to Grade 3 * <b>Orientation Centre</b> --  placement centre for new Canadian secondary school students, call 416-393-5500 for appointment * individual schools listed in the telephone directory under Toronto Catholic District School Board","Contact nearest Catholic school for appointment * contact admissions department if appropriate documentation lacking -- proof of citizenship/landed immigrant status, residency, and (elementary students only) baptism into Roman Catholic faith * visit <a href=""http://soar.tcdsb.org"" target=""_blank"">soar.tcdsb.org</a> for application form",English ; French - (school programs) ; Interpreters in other languages available upon request,Wheelchair accessible building including main entrance and barrier free washrooms * accessible elevators * designated and street parking close to entrance,"Mon-Fri 8:30 am-4:45 pm * after hours -- answering service, emergency calls responded to immediately",(50) Non Profit,2015-07-08T04:00:00,5200663,NA,NA,NA,NA,80 Sheppard Ave E,North York,M2N 6E8,"c(-79.4080959749568, 43.7628440940644)"
10,913,YMCA of Greater Toronto,"4580 Dufferin St, 2nd Fl, Toronto, ON     M3H 5Y2","York University Heights, 27",416-630-0330 ext 185,NA,"<a href=""http://www.ymcagta.org/immigrantservices"" target=""_blank"">www.ymcagta.org/immigrantservices</a>",Newcomers (landed immigrants and convention refugees) * <b>Newcomer Youth Services  </b>-- landed immigrants and convention refugees 13-24 years,"Settlement information and referral * settlement information sessions in various locations * guest speaker series * <b>Newcomer Network</b> * access to computers, fax, photocopiers, and phone * settlement resource library * information on immigration and citizenship, employment and job searching, access to trades and professions, credential assessment, education and training, language classes, health and housing, community, recreation and consumer resources, human rights, legal and social services, child, youth and family resources, food, shelter, and clothing<br><br>

<b>Library Settlement Partnerships</b> -- outreach program at Centennial Library * settlement information and referral * <b>Community Connections Mentorship Program</b> (formerly HOST Program) -- group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks * trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development<br><br>

<b>Newcomer Youth Services</b> -- youth-focused settlement information and referral * <b>Newcomer Youth Leadership Development </b> -- youth learn about their community, gain volunteer hours, build leadership, language, communication and social skills * workshops and activities for parents and youth","Walk in, no appointment required",English ; American Sign Language (ASL) ; Arabic ; Armenian ; Assyrian ; Bulgarian ; Chinese (Cantonese) ; Chinese (Mandarin) ; Dari ; Farsi ; Hebrew ; Hindi ; Korean ; Russian ; Sinhala ; Spanish ; Ukrainian,"Easy access to elevator ; Wheelchair accessible washroom, assistance needed with door","Mon 9 am-7 pm, Tue-Thu 9 am-5 pm, Fri 9 am-1 pm, Sat 10 am-2 pm (Saturdays April to September only)",(50) Non Profit ; (51) Registered Charity,2016-01-06T05:00:00,5468267,NA,NA,NA,NA,4580 Dufferin St,North York,M3H 5Y2,"c(-79.4676820212076, 43.769682273965)"
